short_name,sofifa_id,long_name,player_positions,overall,potential,age,dob,height_cm,weight_kg,nationality_id,nationality_name,nation_jersey_number,preferred_foot,skill_moves,international_reputation,shooting,passing,dribbling,defending,physic
C. Press,226327,Christen Annemarie Press,"ST, LW, RW",86,86,32,29/12/88,170,59,95,United States,23,Right,4,4,86,76,83,45,73
A. Naeher,226335,Alyssa Michele Naeher,GK,86,86,33,20/04/88,175,60,95,United States,1,Right,1,3,,,,,
C. Dunn,226336,Crystal Alyssia Dunn Soubrier,"LB, RB, LM",86,86,28,03/07/92,157,55,95,United States,19,Right,4,3,76,80,81,83,63
S. Mewis,226338,Samantha June Mewis,"CM, CDM",86,86,28,09/10/92,180,63,95,United States,3,Right,4,3,76,82,80,77,84
N. Fischer,226968,Åsa Nilla Maria Fischer,CB,86,86,36,02/08/84,176,68,46,Sweden,5,Right,2,4,44,66,58,86,82
C. Seger,226975,Sara Caroline Seger,"CM, CDM",86,86,36,19/03/85,176,62,46,Sweden,17,Right,4,4,80,82,79,80,77
S. Bouhaddi,227313,Sarah Bouhaddi,GK,86,86,34,17/10/86,175,69,18,France,16,Right,1,3,,,,,
K. O'Hara,226318,Kelley Maureen O'Hara,"RB, LB",85,85,32,04/08/88,165,58,95,United States,5,Right,3,4,65,69,79,83,71
S. Houghton,226358,Stephanie Jayne Houghton Darby,CB,85,85,33,23/04/88,174,71,14,England,5,Right,2,4,63,63,66,85,83
M. Eriksson,226998,Magdalena Lilly Eriksson,"LB, CB",85,85,27,08/09/93,172,66,46,Sweden,6,Left,2,4,33,76,71,84,83
Alexia Putellas,227203,Alexia Putellas Segura,"LM, RM, CM",85,85,27,04/02/94,175,66,45,Spain,11,Left,3,4,83,82,84,69,70
R. Lavelle,232075,Rosemary Kathleen Lavelle,"CAM, CM, LB",85,88,26,14/05/95,163,52,95,United States,16,Left,4,3,78,80,85,46,60
J. Groenen,233852,Jackie Noëlle Groenen,"CM, CAM",85,86,26,17/12/94,164,60,34,Netherlands,14,Right,4,3,68,85,87,68,76
I. Engen,242896,Ingrid Syrstad Engen,"CM, CDM",85,90,23,29/04/98,177,65,36,Norway,14,Right,3,3,73,82,83,82,83
A. Harris,226331,Ashlyn Michelle Harris,GK,84,84,35,19/10/85,175,60,95,United States,18,Right,1,3,,,,,
K. Asllani,226987,Kosovare Asllani,"CAM, CM, ST",84,84,31,29/07/89,166,57,46,Sweden,9,Right,4,4,79,79,87,46,55
L. Benkarth,227330,Laura Anna Benkarth,GK,84,84,28,14/10/92,173,68,21,Germany,12,Right,1,2,,,,,
S. Huth,227337,Svenja Anette Huth,"RM, ST, LM",84,84,30,25/01/91,163,54,21,Germany,9,Right,4,3,73,81,86,57,58
K. Buchanan,227383,Kadeisha Buchanan,CB,84,87,25,05/11/95,170,65,70,Canada,3,Right,2,3,37,51,69,84,86
D. Cascarino,232202,Delphine Cascarino,"RM, RW",84,89,24,05/02/97,165,57,18,France,20,Right,4,2,72,76,86,27,56
A. Erceg,233341,Abby May Erceg,CB,84,84,31,20/11/89,177,68,198,New Zealand,8,Right,2,3,51,62,67,86,81
S. Blackstenius,233364,Emma Stina Blackstenius,ST,84,89,25,05/02/96,174,72,46,Sweden,11,Right,4,3,84,65,83,32,72
D. van de Donk,233751,Daniëlle van de Donk,"CAM, CM",84,84,29,05/08/91,160,54,34,Netherlands,10,Right,4,3,76,79,85,56,73
L. Magull,233837,Lina Maria Magull,"CM, CAM",84,85,26,15/08/94,166,54,21,Germany,28,Right,4,3,78,84,86,57,68
G. Gwinn,247788,Giulia Ronja Gwinn,"RM, CAM, RB",84,90,21,02/07/99,170,56,21,Germany,51,Right,4,2,71,80,84,64,65
L. Oberdorf,248717,Lena Sophie Oberdorf,"CB, CDM",84,92,19,19/12/01,174,55,21,Germany,6,Right,3,1,70,75,77,84,82
S. Jakobsson,226973,Eva Sofia Jakobsson,"RW, ST, LW",83,83,31,23/04/90,174,62,46,Sweden,10,Right,3,3,80,75,80,35,69
H. Lindahl,226978,Rut Hedvig Lindahl,GK,83,83,38,29/04/83,179,74,46,Sweden,1,Right,1,3,,,,,
F. Rolfö,227013,Fridolina Rolfö,"LW, RW",83,83,27,24/11/93,178,65,46,Sweden,18,Left,4,3,83,78,84,44,77
Irene Paredes,227190,Irene Paredes Hernández,CB,83,83,29,04/07/91,177,62,45,Spain,4,Right,2,4,52,62,65,86,76
J. Nobbs,227257,Jordan Nobbs,"CM, RM",83,83,28,08/12/92,160,54,14,England,8,Right,4,3,77,81,81,69,69
M. Mjelde,227282,Maren Nævdal Mjelde,"CB, RB",83,83,31,06/11/89,166,63,36,Norway,6,Right,3,3,76,82,79,85,72
G. Mbock,227346,Griedge Yinda Colette Mbock Bathy Nka,CB,83,86,26,26/02/95,172,64,18,France,19,Right,2,3,45,65,68,83,83
K. Diani,227361,Kadidiatou Diani,"RM, RW, ST",83,84,26,01/04/95,168,64,18,France,11,Right,4,3,78,78,83,50,58
S. Schmidt,227405,Sophie Diana Schmidt,"CM, CDM, CB",83,83,33,28/06/88,172,71,70,Canada,13,Right,4,3,77,81,81,73,70
K. Robles,227466,Vaitiare Kenti Robles Salas,RB,83,83,30,15/02/91,161,59,83,Mexico,2,Right,3,3,61,72,74,82,81
M. Pugh,232073,Mallory Diane Pugh,"RW, LW, CM",83,90,23,29/04/98,163,54,95,United States,2,Right,4,3,79,75,84,33,56
A. Franch,232077,Adrianna Nichole Franch,GK,83,83,30,12/11/90,175,68,95,United States,21,Right,1,3,,,,,
S. Spitse,233747,Sherida Spitse,"CDM, CM",83,83,31,29/05/90,167,61,34,Netherlands,8,Right,3,3,74,86,75,76,75
N. Parris,235659,Nikita Josephine Parris,"RM, ST, RW",83,83,27,10/03/94,164,59,14,England,7,Right,4,3,78,76,85,58,62
Miri Couto,245205,Débora Mariana Ruiz Couto,ST,83,83,29,29/02/92,168,65,54,Brazil,9,Left,4,1,83,79,89,28,70
Emanuelly Barni,245206,Emanuelly Jade Gonçalves Barni,LM,83,83,29,29/02/92,163,58,54,Brazil,10,Left,4,1,76,80,83,27,64
M. Katoto,246272,Marie-Antoinette Oda Katoto,ST,83,91,22,01/11/98,176,66,18,France,12,Right,4,3,84,70,82,20,61
A. Krieger,226325,Alexandra Blaire Krieger,"RB, CB",82,82,36,28/07/84,168,60,95,United States,11,Right,4,3,62,77,74,79,79
M. Leupolz,226354,Melanie Leupolz,"CM, CDM",82,82,27,14/04/94,173,52,21,Germany,18,Right,4,3,76,83,84,73,71
K. Hendrich,226375,Kathrin-Julia Hendrich,"RB, CB",82,82,29,06/04/92,174,55,21,Germany,5,Right,3,2,35,66,71,82,75
Wu Haiyan,226922,吴海燕,"CB, RB",82,82,28,26/02/93,166,58,155,China PR,5,Right,2,2,53,71,71,81,78
C. Foord,227110,Caitlin Jade Foord,"RW, LW, ST",82,83,26,11/11/94,165,61,195,Australia,9,Right,4,3,77,74,82,68,66
S. Catley,227119,Stephanie-Elise Catley,"LB, CB",82,83,27,26/01/94,171,60,195,Australia,7,Left,3,3,67,71,72,78,76
E. White,227270,Ellen Toni White Convery,"ST, LW",82,82,32,09/05/89,171,62,14,England,9,Right,3,2,84,64,75,43,82
K. Minde,227281,Kristine Minde,"LB, LM",82,82,28,08/08/92,169,64,36,Norway,17,Left,3,2,78,80,79,77,71
L. Maier,227300,Leonie Rebekka Maier,"RB, LB",82,82,28,29/09/92,163,62,21,Germany,4,Right,4,2,60,73,79,81,69
G. Reiten,227323,Guro Reiten,"LM, CAM, ST",82,82,26,26/07/94,167,60,36,Norway,16,Left,4,3,79,81,81,44,57
A. Lawrence,227392,Ashley Elizabeth Marie Lawrence,"RB, CM, LB",82,85,26,11/06/95,164,58,70,Canada,10,Right,3,3,70,83,80,78,76
D. Scott,227410,Desiree Rose Marie Scott,"CDM, CM",82,82,33,31/07/87,154,65,70,Canada,11,Right,3,3,51,72,72,79,84
S. van Veenendaal,233749,Sari van Veenendaal,GK,82,82,31,03/04/90,180,72,34,Netherlands,1,Right,1,3,,,,,
A. Dahlkemper,236641,Abigail Lynn Dahlkemper,CB,82,83,28,13/05/93,170,54,95,United States,7,Right,2,3,49,75,68,84,81
M. Bright,238257,Millie Bright,CB,82,84,27,21/08/93,178,76,14,England,15,Right,2,2,46,63,63,83,86
L. Dallmann,239345,Linda Dallmann,"CAM, LM, CF",82,83,26,02/09/94,158,51,21,Germany,16,Right,4,2,76,78,86,47,59
E. Carpenter,240030,Ellie Madison Carpenter,RB,82,91,21,28/04/00,165,60,195,Australia,3,Right,3,2,46,73,76,77,79
J. Roord,240714,Jill Jamie Roord,"LW, CAM, RW",82,86,24,22/04/97,175,63,34,Netherlands,19,Right,4,3,80,81,83,53,67
Jully Mutto,245188,Júlia Maria Mutto Sampaio,CB,82,82,33,29/02/88,170,68,54,Brazil,6,Right,2,1,39,58,64,84,80
Palomy Bastos,245193,Paloma Isa Sá Bastos,ST,82,82,33,29/02/88,172,67,54,Brazil,7,Left,4,1,83,67,82,23,73
M. Frohms,247789,Merle Frohms,GK,82,85,26,28/01/95,175,60,21,Germany,1,Right,1,2,,,,,
K. Bühl,248822,Klara Bühl,"ST, RM",82,89,20,07/12/00,172,65,21,Germany,19,Right,4,1,83,75,84,24,62
A. Berger,258310,Ann-Katrin Berger,GK,82,83,30,09/10/90,180,63,21,Germany,21,Right,1,2,,,,,
E. Haavi,227101,Emilie Bosshard Haavi,"LM, RM",81,81,29,16/06/92,164,59,36,Norway,20,Right,3,2,62,80,82,66,65
L. Williams,227118,Lydia Grace Yilkari Williams,GK,81,81,33,13/05/88,175,63,195,Australia,1,Right,1,3,,,,,
Sandra Paños,227776,Sandra Paños García-Villamil,GK,81,83,28,04/11/92,169,65,45,Spain,13,Right,1,2,,,,,
Mapi León,236479,María Pilar León Cebrián,"CB, LB",81,86,26,13/06/95,169,61,45,Spain,16,Left,2,3,39,70,65,83,73
H. Glas,239791,Hanna Erica Maria Glas,"RB, RWB, CB",81,81,28,16/04/93,172,64,46,Sweden,4,Right,2,2,53,68,69,80,75
L. Schüller,244302,Lea Schüller,ST,81,87,23,12/11/97,173,62,21,Germany,7,Right,3,2,81,67,78,32,67
Letinha Lia,245177,Letícia Lia Medeiros Resende,LB,81,81,37,29/02/84,170,66,54,Brazil,3,Left,4,1,52,70,80,77,74
Isinha Macapá,245194,Íris Isabella Orsi da Silva,RM,81,81,33,29/02/88,164,57,54,Brazil,11,Left,4,1,55,79,81,29,58
Becky Saudera,245199,Rebeca Lia Saudera Peixoto,CDM,81,81,29,29/02/92,170,65,54,Brazil,5,Right,3,1,66,72,69,78,80
S. Lohmann,247791,Sydney Lohmann,"CAM, CM",81,89,21,19/06/00,174,64,21,Germany,8,Right,3,1,79,77,80,75,76
M. Hegering,248715,Marina Hegering,CB,81,81,31,17/04/90,170,59,21,Germany,3,Right,2,2,35,52,67,83,79
T. Wullaert,261781,Tessa Wullaert,"ST, LW, CAM",81,81,28,19/03/93,168,60,7,Belgium,9,Right,4,3,81,79,81,26,67
Wang Shuang,226360,王霜,"ST, CAM",80,83,26,23/01/95,165,59,155,China PR,7,Left,3,3,79,74,81,43,69
Tang Jiali,226960,唐佳丽,"ST, RM, LM",80,82,26,16/03/95,166,52,155,China PR,18,Right,3,1,79,73,78,57,73
E. Kellond-Knight,227112,Elise Kellond-Knight,"CDM, LB, CM",80,80,30,10/08/90,165,60,195,Australia,8,Left,3,3,51,77,69,82,79
K. Bardsley,227241,Karen Louise Bardsley,GK,80,80,36,14/10/84,182,72,14,England,13,Right,1,3,,,,,
A. Greenwood,227254,Alex Greenwood,LB,80,80,27,07/09/93,168,62,14,England,3,Left,2,2,43,65,67,80,76
J. Scott,227262,Jill Louise Scott,"CM, CDM",80,80,34,02/02/87,182,68,14,England,16,Right,4,3,73,71,75,78,87
C. Telford,227269,Carly Mitchell Telford,GK,80,80,33,07/07/87,174,64,14,England,23,Right,1,1,,,,,
J. Beckie,227381,Janine Elizabeth Beckie,"LM, RM",80,80,26,20/08/94,173,63,70,Canada,16,Right,3,2,73,74,78,22,62
S. Labbé,227391,Stephanie Lynn Marie Labbé,GK,80,80,34,10/10/86,178,64,70,Canada,1,Right,1,2,,,,,
M. Torrent,231347,Marion Torrent,RB,80,80,29,17/04/92,164,53,18,France,4,Right,3,2,53,69,72,79,68
E. Sonnett,232074,Emily Ann Sonnett,"RB, CB, CDM",80,81,27,25/11/93,170,68,95,United States,14,Right,3,1,59,75,72,78,78
A. Riley,233343,Alexandra Lowe Riley,"LB, LM, LWB",80,80,33,30/10/87,164,54,198,New Zealand,7,Left,4,3,75,79,79,76,74
S. van der Gragt,233755,Stefanie van der Gragt,CB,80,80,28,16/08/92,178,70,34,Netherlands,3,Left,2,2,53,66,57,81,84
F. Rauch,233838,Felicitas Rauch,"LB, LM",80,85,25,30/04/96,167,61,21,Germany,17,Left,3,1,51,65,74,78,71
R. Daly,235657,Rachel Ann Daly,"RM, RB",80,80,29,06/12/91,168,67,14,England,17,Right,3,3,78,72,78,63,70
G. Geyoro,237197,Onema Grace Geyoro,"CDM, CB",80,89,23,02/07/97,166,60,18,France,8,Right,3,2,52,71,76,78,67
K. Sheridan,237673,Kailen Mary Iacovoni Sheridan,GK,80,83,25,16/07/95,176,72,70,Canada,18,Right,1,1,,,,,
L. Beerensteyn,240717,Lineth Enid Fabienne Beerensteyn,"RW, ST, RB",80,84,24,11/10/96,161,62,34,Netherlands,21,Right,4,2,73,69,84,52,73
Peng Shimeng,243415,彭诗梦,GK,80,85,23,12/05/98,182,70,155,China PR,12,Right,1,2,,,,,
Julininha Ruiz,245197,Júlia Bárbara Ruiz Gomes,GK,80,80,29,29/02/92,171,65,54,Brazil,1,Right,1,1,,,,,
Karole Pombal,245204,Karen Isa Pombal Trigo,"CAM, RM",80,80,29,29/02/92,165,59,54,Brazil,8,Right,4,1,69,75,81,27,47
L. Freigang,261773,Laura Freigang,"ST, RW",80,85,23,11/02/98,172,64,21,Germany,14,Right,3,1,81,53,75,23,61
J. Cayman,261785,Janice Cayman,"RW, LW, ST",80,80,32,12/10/88,167,61,7,Belgium,11,Right,4,2,80,76,81,53,67
Liu Shanshan,226911,刘杉杉,LB,79,79,29,16/03/92,169,65,155,China PR,2,Left,3,2,42,68,70,77,75
E. van Egmond,227113,Emily Louise van Egmond,"CM, CAM, CF",79,79,27,12/07/93,179,70,195,Australia,10,Right,4,3,72,76,72,70,83
H. Raso,227137,Hayley Emma Raso,"RW, LW",79,79,26,05/09/94,162,59,195,Australia,16,Right,3,2,74,67,83,33,63
D. Stokes,227264,Demi Lee Courtney Stokes,LB,79,79,29,12/12/91,158,56,14,England,12,Left,3,3,39,62,74,77,78
S. Mayor,227452,Sandra Stephany Mayor Gutierrez,"CAM, CM, RM",79,79,29,23/09/91,162,58,83,Mexico,10,Right,4,2,77,76,82,37,62
R. Percival,233338,Ria Dawn Percival,"RB, CDM",79,79,31,07/12/89,161,57,198,New Zealand,2,Right,4,2,65,80,76,78,60
S. van de Sanden,233752,Shanice Janice van de Sanden,RW,79,79,28,02/10/92,168,65,34,Netherlands,7,Right,4,3,70,71,77,39,77
D. Janssen,233756,Dominique Johanna Anna Petrone Janssen,"CB, RB, LB",79,80,26,17/01/95,174,67,34,Netherlands,20,Right,3,3,68,75,76,79,80
E. Perisset,236428,Ève Josette Noelle Périsset,RB,79,81,26,24/12/94,160,55,18,France,2,Right,3,1,46,72,75,77,72
K. Walsh,242830,Keira Fae Walsh,"CDM, CM",79,88,24,08/04/97,168,67,14,England,14,Right,3,2,40,75,76,73,78
C. Emslie,243403,Claire Emslie,"RM, LM",79,79,27,08/03/94,174,68,42,Scotland,18,Right,4,3,72,74,78,34,65
Bianca Revelia,245186,Bianca Rebeca Dias Ribeiro,RB,79,79,33,29/02/88,157,53,54,Brazil,4,Right,3,1,44,71,77,75,68
Becky Redela,245202,Rebeca Maria Jasper Redela,CB,79,79,29,29/02/92,172,70,54,Brazil,2,Right,2,1,34,51,57,82,80
J. Beattie,245873,Jennifer Patricia Beattie,CB,79,79,30,13/05/91,177,69,42,Scotland,5,Right,3,2,70,53,66,81,74
C. Weir,245879,Caroline Elspeth Lillias Weir,"CM, CDM, CAM",79,82,26,20/06/95,172,60,42,Scotland,9,Left,3,3,73,73,76,73,57
T. De Caigny,261789,Tine De Caigny,"ST, CAM",79,84,24,09/06/97,175,62,7,Belgium,6,Right,3,1,81,65,74,32,71
Li Ying,226915,李影,"LM, ST, RM",78,78,28,07/01/93,170,61,155,China PR,10,Left,3,2,80,74,77,38,73
Ma Jun,226940,马君,"CM, CDM",78,78,32,06/03/89,173,55,155,China PR,8,Right,3,2,71,70,75,74,71
A. Ilestedt,226979,Amanda Ilestedt,CB,78,79,28,17/01/93,178,65,46,Sweden,13,Right,2,2,36,54,53,78,80
A. Kennedy,227109,Alanna Stephanie Kennedy,"CB, CDM",78,81,26,21/01/95,176,63,195,Australia,5,Right,2,3,62,66,62,80,81
K. Gorry,227115,Katrina-Lee Gorry,"CM, CAM",78,78,28,13/08/92,154,54,195,Australia,19,Right,4,3,71,76,81,65,58
Marta Corredera,227193,Marta Corredera Rueda,"RB, RM, LB",78,78,29,08/08/91,162,59,45,Spain,7,Right,4,2,71,73,76,73,62
J. Fleming,227387,Jessie Alexandra Fleming,"CM, CAM",78,84,23,11/03/98,165,53,70,Canada,17,Right,3,1,71,69,80,66,56
Amanda Sampedro,227775,Amanda Sampedro Bustos,"RM, CM, CAM",78,78,28,26/06/93,161,55,45,Spain,19,Right,3,3,75,77,78,72,71
E. Nayler,233337,Erin Nicole Nayler,GK,78,79,29,17/04/92,175,68,198,New Zealand,1,Right,1,2,,,,,
S. Karchaoui,233662,Sakina Karchaoui,LB,78,82,25,26/01/96,160,55,18,France,7,Left,4,1,47,74,79,74,54
M. van Dongen,233757,Merel Didi van Dongen,"LB, CB",78,78,28,11/02/93,170,64,34,Netherlands,4,Left,3,2,54,71,74,77,79
A. Dekker,233854,Marieke Anouk Dekker,"CDM, CB",78,78,34,15/11/86,182,70,34,Netherlands,6,Right,2,2,65,71,63,81,85
Patri Guijarro,237289,Patricia Guijarro Gutiérrez,"CM, CAM",78,86,23,17/05/98,170,64,45,Spain,12,Right,3,2,78,74,77,72,65
Z. Mušović,243379,Zećira Mušović,GK,78,84,25,26/05/96,178,66,46,Sweden,22,Right,1,1,,,,,
G. Stanway,243404,Georgia Marie Stanway,"CAM, CM",78,89,22,03/01/99,162,58,14,England,4,Right,4,2,73,77,76,35,57
B. Mead,245802,Bethany Jane Mead,"LM, RM, LW",78,79,26,09/05/95,163,59,14,England,19,Right,3,2,77,69,79,33,63
E. Cuthbert,245882,Erin Jacqueline Cuthbert,"ST, CAM, CM",78,87,22,19/07/98,159,60,42,Scotland,22,Right,4,3,78,67,76,23,58
L. Williamson,246426,Leah Cathrine Williamson,CB,78,83,24,29/03/97,170,65,14,England,6,Right,2,1,47,57,60,79,71
Wang Shanshan,226917,王珊珊,"ST, LM, RM",77,77,31,27/01/90,169,57,155,China PR,11,Left,4,2,76,75,77,61,73
Zhang Xin,226932,张馨,"RM, LM, ST",77,77,29,23/05/92,170,56,155,China PR,6,Left,3,1,60,75,74,47,55
O. Schough,226985,Olivia Alma Charlotta Schough,"LW, LWB",77,77,30,11/03/91,172,60,46,Sweden,15,Right,4,2,75,72,77,41,73
E. Rubensson,226988,Elin Ingrid Johanna Rubensson,"CDM, CM",77,77,28,11/05/93,166,60,46,Sweden,23,Right,3,2,53,73,79,77,68
C. Polkinghorne,227111,Clare Elizabeth Polkinghorne,CB,77,77,32,01/02/89,171,67,195,Australia,4,Right,2,3,34,62,57,76,79
T. Yallop,227120,Tameka Yallop,"CAM, CM",77,77,30,16/06/91,158,55,195,Australia,13,Right,3,2,68,77,76,61,75
Virginia Torrecilla,227195,Virginia Torrecilla Reyes,"CDM, CM",77,80,26,04/09/94,174,63,45,Spain,14,Right,3,2,65,74,72,74,66
Vicky Losada,227201,María Victoria Losada Gómez,"CM, LM, RM",77,77,30,05/03/91,168,60,45,Spain,6,Right,3,3,74,72,74,69,72
C. Fiskerstrand,227368,Cecilie Hauståker Fiskerstrand,GK,77,81,25,20/03/96,174,66,36,Norway,1,Right,1,2,,,,,
E. McLeod,227400,Erin Katrina McLeod,GK,77,77,38,26/02/83,173,73,70,Canada,20,Right,1,3,,,,,
K. Bowen,233350,Kate Elizabeth Bowen,"CM, CDM, RB",77,78,27,15/04/94,170,56,198,New Zealand,14,Right,4,2,59,78,75,71,70
J. Andersson,235585,Jonna Ann-Charlotte Andersson,"LB, LWB",77,77,28,02/01/93,167,64,46,Sweden,2,Left,3,1,45,63,73,73,64
C. Krueger,236642,Casey Marie Krueger,"LB, CB",77,77,30,23/08/90,173,58,95,United States,20,Right,3,1,65,70,71,75,78
Mariona,237288,María Francesca Caldentey Oliver,"LW, RW, CAM",77,80,25,19/03/96,164,61,45,Spain,8,Right,3,2,74,76,79,48,67
Aitana Bonmatí,241667,Aitana Bonmatí Conca,"RM, CM, LM",77,85,23,18/01/98,161,51,45,Spain,23,Right,4,1,72,74,78,61,61
V. Risa,242895,Vilde Bøe Risa,"CM, CDM",77,80,25,13/07/95,164,67,36,Norway,8,Right,3,2,69,77,75,64,65
Lin Yuping,243419,林宇萍,CB,77,77,29,28/02/92,180,63,155,China PR,3,Right,2,2,49,68,64,78,76
Melinda Goiás,245196,Melinda Marina Regalo Gonçalves,LM,77,77,29,29/02/92,164,56,54,Brazil,13,Right,4,1,71,74,75,29,62
E. Mitchell,245876,Emma Mitchell,LB,77,77,28,19/09/92,165,59,42,Scotland,17,Left,3,2,40,61,70,74,68
L. Evans,245878,Lisa Catherine Evans,"RM, LM",77,77,29,21/05/92,166,54,42,Scotland,11,Right,4,2,70,71,77,48,56
A. Nouwen,246317,Aniek Nouwen,CB,77,83,22,09/03/99,174,65,34,Netherlands,2,Right,2,1,55,55,58,79,77
N. Björn,247461,Gun Nathalie Björn,"RB, CB, CDM",77,84,24,04/05/97,174,67,46,Sweden,14,Right,3,1,40,67,71,75,70
E. Roebuck,247796,Ellie Roebuck,GK,77,86,21,23/09/99,174,67,14,England,1,Right,1,1,,,,,
B. England,256489,Bethany England,ST,77,78,27,03/06/94,166,61,14,England,18,Right,3,2,80,64,76,46,67
Zhai Qingwei,259484,翟晴苇,LB,77,82,24,24/09/96,163,57,155,China PR,19,Left,3,1,33,57,60,78,54
Cláudia Neto,261836,Cláudia Teresa Pires Neto,"CAM, RM, ST",77,77,33,18/04/88,164,55,38,Portugal,7,Right,4,3,77,77,74,45,61
Zhang Rui,226913,张睿,"CM, CAM, CDM",76,76,32,17/01/89,172,62,155,China PR,20,Right,3,2,76,77,74,68,77
Gu Yasha,226929,古雅沙,LM,76,76,30,28/11/90,165,60,155,China PR,17,Left,4,2,74,72,73,43,64
V. Asseyi,227348,Viviane Marie-Louise Blanche Asseyi,"RM, ST, CAM",76,76,27,20/11/93,163,59,18,France,18,Right,3,1,65,71,76,48,62
K. Dali,227353,Kenza Dali,"RM, CM",76,76,29,31/07/91,165,62,18,France,15,Right,4,2,72,75,76,63,67
A. Chapman,227384,Allysha Lyn Chapman,"LB, RB",76,76,32,25/01/89,160,57,70,Canada,2,Left,2,2,35,52,57,77,75
Leila Ouahabi,233150,Leila Ouahabi El Ouahabi,LB,76,76,28,22/03/93,172,61,45,Spain,15,Left,3,1,48,64,68,75,71
K. van Es,233856,Kika van Es,"LB, RB, CB",76,76,29,11/10/91,169,62,34,Netherlands,5,Right,3,1,61,68,72,75,78
S. Zadorsky,235594,Shelina Laura Zadorsky,CB,76,76,28,24/10/92,172,67,70,Canada,4,Left,2,2,24,61,60,77,80
A. Tounkara,236648,Aïssatou Tounkara,CB,76,79,26,16/03/95,174,60,18,France,5,Right,2,2,32,57,56,77,76
T. Knaak,244303,Turid Knaak,"CAM, ST, LM",76,76,30,24/01/91,168,53,21,Germany,22,Right,4,1,72,72,80,35,55
Cecil Sendela,245178,Amanda Cecília Santos Sendela,LM,76,76,21,29/02/00,164,55,54,Brazil,19,Left,4,1,67,73,77,24,54
Zoe Tocantins,245181,Juliana Zoe Meire Carvalho,"CB, LB",76,76,37,29/02/84,173,68,54,Brazil,14,Left,2,1,24,56,56,79,70
Isaby Camila,245195,Isabel Camila Magela Acuna,"RM, LM",76,76,33,29/02/88,163,58,54,Brazil,15,Right,3,1,61,72,72,23,58
